price,specs,specs_core,img
"₹92,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor256 GB inbuilt4674 mAh Battery with Fast Charging6.7 inches, 1290 x 2796 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",83,https://cdn1.smartprix.com/rx-iwzJbyZZO-w280-h280/apple-iphone-16-plus.webp
"₹69,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A15, Hexa Core, 3.22 GHz Processor6 GB RAM, 128 GB inbuilt4325 mAh Battery with Fast Charging6.7 inches, 1284 x 2778 px Display with Small Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v16",80,https://cdn1.smartprix.com/rx-ibQpWfEfh-w280-h280/apple-iphone-14-plus.webp
"₹60,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A15, Hexa Core, 3.22 GHz Processor4 GB RAM, 512 GB inbuilt3240 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v15",,https://cdn1.smartprix.com/rx-iPdVjGYTB-w280-h280/apple-iphone-13-512g.webp
"₹1,40,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 512 GB inbuilt3582 mAh Battery with Fast Charging6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",89,https://cdn1.smartprix.com/rx-i2up0xlk8-w280-h280/apple-iphone-16-pro.webp
"₹1,79,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCOcta Core Processor12 GB RAM, 256 GB inbuilt5000 mAh Battery with 80W Fast Charging6.9 inches, 1800 x 3200 px, 165 Hz Display200 MP Quad Rear & 32 MP Front CameraMemory Card Not SupportediOS v20",85,https://cdn1.smartprix.com/rx-inwQPO3bB-w280-h280/apple-iphone-18-pro.webp
"₹64,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A15, Hexa Core, 3.22 GHz Processor6 GB RAM, 256 GB inbuilt3279 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v16",80,https://cdn1.smartprix.com/rx-ibsJ2hNrF-w280-h280/apple-iphone-14-256g.webp
"₹99,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 512 GB inbuilt3561 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island Display48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",86,https://cdn1.smartprix.com/rx-iWGnQZm8h-w280-h280/apple-iphone-16-512g.webp
"₹82,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A16, Hexa Core, 3.46 GHz Processor6 GB RAM, 512 GB inbuilt3349 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v17",82,https://cdn1.smartprix.com/rx-iRdROGaYP-w280-h280/apple-iphone-15-512g.webp
"₹29,990","Single Sim, 3G, 4G, VoLTE, Wi-Fi, NFCA13 Bionic, Hexa Core, 2.65 GHz Processor3 GB RAM, 64 GB inbuilt2050 mAh Battery with Fast Charging4.7 inches, 750 x 1334 px Display with Large Notch12 MP Rear & 7 MP Front CameraMemory Card Not SupportediOS v13.0",,https://cdn1.smartprix.com/rx-iU4RI3mhe-w280-h280/apple-iphone-9.webp
"₹80,300","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 512 GB inbuilt4005 mAh Battery with Fast Charging6.1 inches, 1170 x 2532 px Display with Small Notch48 MP Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",85,https://cdn1.smartprix.com/rx-iA5rc7mM3-w280-h280/apple-iphone-16e-512.webp
"₹1,09,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor512 GB inbuilt4674 mAh Battery with Fast Charging6.7 inches, 1290 x 2796 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",84,https://cdn1.smartprix.com/rx-iwzJbyZZO-w280-h280/apple-iphone-16-plus.webp
"₹1,61,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18 Pro, Hexa Core, 4.05 GHz Processor8 GB RAM, 1 TB inbuilt3582 mAh Battery with Fast Charging6.3 inches, 1206 x 2622 px, 120 Hz Display with Dynamic Island48 MP + 48 MP + 12 MP Triple Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",89,https://cdn1.smartprix.com/rx-i2up0xlk8-w280-h280/apple-iphone-16-pro.webp
"₹89,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Octa Core, 4.04 GHz Processor8 GB RAM, 128 GB inbuilt5100 mAh Battery with Fast Charging6.65 inches, 1284 x 3200 px, 120 Hz Display with Small Notch50 MP Rear & 24 MP Front CameraMemory Card Not SupportediOS v26",85,https://cdn1.smartprix.com/rx-ipMo6BYzu-w280-h280/apple-iphone-17-slim.webp
"₹49,990","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor64 GB inbuilt3279 mAh Battery with 18W Fast Charging6.06 inches, 1170 x 2532 px Display48 MP Rear & 24 MP Front CameraMemory Card Not SupportediOS v18",,https://cdn1.smartprix.com/rx-iSVpmoc10-w280-h280/apple-iphone-se-4.webp
"₹69,990","Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFCBionic A166 GB RAM, 128 GB inbuilt3500 mAh Battery with Fast Charging5.42 inches, 1080 x 2340 px Display with Punch Hole12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v15",,https://cdn1.smartprix.com/rx-iWW0cCPP6-w280-h280/apple-iphone-14-mini.webp
"₹49,900","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A14, Hexa Core, 3.1 GHz Processor4 GB RAM, 128 GB inbuilt6.1 inches, 1170 x 2532 px Display with Large Notch12 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v14No FM Radio",,https://cdn1.smartprix.com/rx-ijm5SaXcD-w280-h280/apple-iphone-12-128g.webp
"₹72,200","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A18, Hexa Core, 4.04 GHz Processor8 GB RAM, 128 GB inbuilt3561 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island Display48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v18",85,https://cdn1.smartprix.com/rx-i2e85bq8q-w280-h280/apple-iphone-16.webp
"₹61,400","Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFCBionic A16, Hexa Core, 3.46 GHz Processor6 GB RAM, 128 GB inbuilt3349 mAh Battery with Fast Charging6.1 inches, 1179 x 2556 px Display with Dynamic Island48 MP + 12 MP Dual Rear & 12 MP Front CameraMemory Card Not SupportediOS v17",81,https://cdn1.smartprix.com/rx-iWLT056zS-w280-h280/apple-iphone-15.webp
